Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2025-02-14 03:00:00,24.129999999999995,87,5.78,light rain
2025-02-14 06:00:00,23.470000000000027,90,4.39,heavy intensity rain
2025-02-14 09:00:00,23.160000000000025,91,4.06,light rain
2025-02-14 12:00:00,22.390000000000043,93,3.28,light rain
2025-02-14 15:00:00,22.170000000000016,90,3.68,light rain
2025-02-14 18:00:00,21.340000000000032,90,3.05,overcast clouds
2025-02-14 21:00:00,22.02000000000004,83,5.35,clear sky
2025-02-15 00:00:00,24.82000000000005,59,3.07,few clouds
2025-02-15 03:00:00,27.200000000000045,45,3.21,broken clouds
2025-02-15 06:00:00,25.090000000000032,58,4.56,broken clouds
2025-02-15 09:00:00,22.210000000000036,67,2.61,few clouds
2025-02-15 12:00:00,20.24000000000001,41,5.08,few clouds
2025-02-15 15:00:00,18.120000000000005,72,7.38,few clouds
2025-02-15 18:00:00,16.450000000000045,68,5.52,light rain
2025-02-15 21:00:00,15.439999999999998,54,6.75,clear sky
2025-02-16 00:00:00,18.74000000000001,39,6.29,clear sky
2025-02-16 03:00:00,20.590000000000032,39,8.1,clear sky
2025-02-16 06:00:00,20.510000000000048,51,10.54,clear sky
2025-02-16 09:00:00,19.02000000000004,58,9.68,clear sky
2025-02-16 12:00:00,18.74000000000001,59,8.24,few clouds
2025-02-16 15:00:00,18.430000000000007,59,6.97,light rain
2025-02-16 18:00:00,16.939999999999998,64,6.04,light rain
2025-02-16 21:00:00,16.05000000000001,64,5.89,overcast clouds
2025-02-17 00:00:00,18.860000000000014,53,5.55,broken clouds
2025-02-17 03:00:00,20.82000000000005,44,5.46,clear sky
2025-02-17 06:00:00,20.470000000000027,46,5.52,clear sky
2025-02-17 09:00:00,18.629999999999995,64,3.77,clear sky
2025-02-17 12:00:00,18.230000000000018,61,2.31,clear sky
2025-02-17 15:00:00,16.700000000000045,68,2.58,few clouds
2025-02-17 18:00:00,15.120000000000005,71,2.92,few clouds
2025-02-17 21:00:00,16.200000000000045,68,3.05,broken clouds
2025-02-18 00:00:00,22.200000000000045,49,0.41,scattered clouds
2025-02-18 03:00:00,23.160000000000025,53,4.46,clear sky
2025-02-18 06:00:00,22.310000000000002,58,5.77,clear sky
2025-02-18 09:00:00,20.57000000000005,67,4.08,few clouds
2025-02-18 12:00:00,20.210000000000036,69,3.07,scattered clouds
2025-02-18 15:00:00,20.430000000000007,67,2.56,overcast clouds
2025-02-18 18:00:00,20.360000000000014,63,1.65,overcast clouds
2025-02-18 21:00:00,20.670000000000016,63,0.73,overcast clouds
2025-02-19 00:00:00,22.49000000000001,57,1.75,overcast clouds
